probe,weight,jew_type,jew_weight,complexity,price
600,5,3,6,2,305966.21
585,6,3,2,4,404875.5
600,9,7,4,4,932696.14
585,6,3,8,3,519433.94
700,9,1,6,4,832425.0
600,8,4,8,1,437097.58
585,1,8,4,1,239872.0
500,1,4,6,5,442561.13
700,5,1,6,2,295053.97
700,8,5,5,4,982662.07
500,1,2,10,5,442115.13
700,3,2,10,2,325762.7
500,4,2,8,4,380048.76
600,5,10,6,3,1151045.31
600,1,6,4,2,214097.04
700,1,4,8,5,712296.42
585,2,4,8,2,345565.62
700,4,7,7,3,910112.51
500,1,6,5,5,582052.9
600,7,5,10,2,793703.45
600,7,4,3,5,714220.99
600,2,9,5,4,888685.63
500,9,7,2,1,254328.25
700,8,10,1,3,647969.44
585,5,6,2,4,426143.0
700,5,10,8,5,2954690.89
700,2,8,9,4,1725443.6
500,9,5,10,4,1295258.17
700,9,8,1,3,671798.94
500,2,5,9,3,654019.49
600,8,1,6,5,739198.57
600,7,6,10,1,738838.24
600,5,2,6,5,574899.61
500,6,2,2,2,172912.9
585,10,4,2,3,509356.03
600,10,8,3,5,1221320.55
500,5,3,9,2,358569.21
700,7,9,10,5,3678085.44
585,10,3,3,1,305998.92
700,8,10,3,5,1477188.84
585,2,8,8,1,640316.96
600,4,2,9,5,645675.92
700,9,8,1,1,399260.54
600,9,6,4,3,657866.47
700,9,7,10,4,2257448.92
500,1,2,5,4,145098.57
700,9,5,3,4,915745.01
500,7,3,4,5,542127.85
700,4,7,8,4,1380391.23
600,1,7,2,2,137378.84
600,6,5,10,5,1663380.04
500,5,6,4,4,512624.11
500,8,10,3,4,808284.65
700,2,9,4,2,432887.44
500,1,6,7,2,422094.27
500,7,5,6,1,322867.29
700,9,5,2,2,509317.34
585,2,7,3,3,293331.32
585,9,10,6,2,1016490.7
700,1,2,9,2,199749.49
700,9,1,3,2,465530.75
500,10,9,5,4,1192260.52
500,4,7,3,4,433113.34
600,10,4,7,4,994054.49
585,8,3,1,5,650560.65
585,10,1,9,4,727976.86
500,3,6,6,1,301095.35
500,6,10,9,3,1922219.59
600,6,5,10,5,1662629.04
585,1,9,9,1,885789.48
585,1,4,7,5,565129.9
